category,polarity,Anzahl von reviewid
OS#GENERAL,neutral,2
OS#GENERAL,positive,9
OS#MISCELLANEOUS,negative,2
OS#OPERATION_PERFORMANCE,negative,1
OS#OPERATION_PERFORMANCE,positive,5
OS#QUALITY,negative,2
OS#QUALITY,positive,2
OS#USABILITY,negative,1
OS#USABILITY,neutral,3
OS#USABILITY,positive,7
PORTS#DESIGN_FEATURES,negative,1
PORTS#OPERATION_PERFORMANCE,negative,1
PORTS#QUALITY,negative,4
POWER_SUPPLY#DESIGN_FEATURES,negative,2
POWER_SUPPLY#DESIGN_FEATURES,positive,1
POWER_SUPPLY#MISCELLANEOUS,negative,1
POWER_SUPPLY#OPERATION_PERFORMANCE,negative,4
POWER_SUPPLY#QUALITY,negative,10
SHIPPING#PRICE,negative,2
SHIPPING#PRICE,positive,1
SHIPPING#QUALITY,negative,5
SHIPPING#QUALITY,positive,3
SOFTWARE#DESIGN_FEATURES,neutral,3
SOFTWARE#DESIGN_FEATURES,positive,3
SOFTWARE#GENERAL,negative,9
SOFTWARE#GENERAL,positive,14
SOFTWARE#MISCELLANEOUS,negative,3
SOFTWARE#MISCELLANEOUS,positive,7
SOFTWARE#OPERATION_PERFORMANCE,negative,7
SOFTWARE#OPERATION_PERFORMANCE,neutral,1
SOFTWARE#OPERATION_PERFORMANCE,positive,6
SOFTWARE#PRICE,negative,1
SOFTWARE#QUALITY,negative,1
SOFTWARE#USABILITY,negative,4
SOFTWARE#USABILITY,positive,12
SUPPORT#GENERAL,negative,2
SUPPORT#GENERAL,positive,2
SUPPORT#MISCELLANEOUS,negative,2
SUPPORT#MISCELLANEOUS,positive,1
SUPPORT#PRICE,negative,6
SUPPORT#QUALITY,negative,114
SUPPORT#QUALITY,neutral,2
SUPPORT#QUALITY,positive,13
WARRANTY#GENERAL,negative,2
WARRANTY#GENERAL,positive,1
WARRANTY#MISCELLANEOUS,negative,1
WARRANTY#PRICE,negative,1
WARRANTY#PRICE,neutral,1
